Tweet,,,
"Polri, TNI, anak-anak, dan rakyat meninggal karena pandemi, namun Firli dan kawan2 sibuk sabotase penanganan pandemi DEMI UANG KORUPSI (termasuk pengadaan vaksin maut).

Katedral dibom dan rakyat Poso dibunuh teroris asli, namun DIJADIKAN MAINAN FITNAH oleh Firli, demi KORUPSI.",Tidak Percaya,,42
"Firli dan ORBA 2 TELAH MENUMBALKAN DAN MEMBUNUH POLRI, TNI, ANAK-ANAK, DAN RAKYAT MELALUI COVID-19 (SABOTASE PENANGANAN PANDEMI SEMISAL PENGADAAN PAKSA VAKSIN MAUT DLL) DEMI UANG KORUPSI.",Tidak Percaya,,
"Ya...melalui SABOTASE PENANGANAN PANDEMI DEMI UANG KORUPSI (termasuk pengadaan vaksin maut), Firli dan Orba 2 MENUMBALKAN NYAWA POLRI, TNI, ANAK-ANAK, DAN RAKYAT DEMI UANG.",Tidak Percaya,,
Pengadaan vaksin maut di atas adalah BUKTI JELAS DAN KONKRETNYA.,Tidak Percaya,,
"Firli adalah kiriman ORBA 2, yang bertugas menghancurkan penyidikan korupsi.

Mereka lakukan itu agar korupsi mereka mulus, agar kembali bebas MENYABOTASE PENANGANAN PANDEMI DEMI UANG KORUPSI, seperti korupsi pengadaan vaksin maut di atas tadi.",Tidak Percaya,,
"Di situ Aaron melindungi Dokter Marta dan menyelidiki fasilitas lab dan produksi milik farmasi jahat, yg memproduksi obat maut.

Itu adalah penyelidikan pengadaan vaksin maut oleh Terawan dan DPR-Oligarki:

https://t.co/AdeSv1Gi9P",Tidak Percaya,,
"Tambahan jejaring korupsi ORBA 2:
- MAFIA ALUTSISTA
- MAFIA PENGADAAN PAKSA VAKSIN MAUT
- MAFIA PELEMAH PERLINDUNGAN DATA PRIBADI (JOHNNY G. PLATE) https://t.co/aGA7qGskP3",Tidak Percaya,,
"Ini buktinya, oengadaan paksa vaksin maut:

https://t.co/AdeSv1Gi9P",Tidak Percaya,,
"Dan peran Firli Bahuri di sini adalah MENGHANCURKAN KPK.

Ya...dia pimpinan KPK namun hancurkan pemberantasan korupsi.

Tugasnya sama dengan:
- Johnny G. Plate (Menkominfo yg HANCURKAN perlindungan data rakyat)
- Terawan (mantan Menkes yg tumbalkan nyawa dan adakan vaksin maut)",Tidak Percaya,,
"Soklan yg perlu ditanya wartawan di covid pc:
1. Betul ke ada kes maut tak sampai 24j dari muncul gejala?
2. Betul ke ada org potong q guna cable?
3. Boleh ke rentas negeri bila lengkap dos?
4. Kenapa ada org vaksin fasa 3 tapi dah lengkap dos?",,,
